19,18,Samantha,McFee,Oracle,Johannesburg,Junior Analyst,0826984512,0113589799,0113589798
8,7,Christos,Papazian,Microsoft,Johannesburg,IT Manager,0765421456,0115425230,0115425290
7,0,Mathew,Burke,Microsoft,Johannesburg,Account Manager,0856429873,0115425220,0115425210
4,33,John,Major,IBM,Johannesburg,Lead Developer,0865429871,0116725452,0116725322
6,4,James,McDonald,IBM,Johannesburg,Developer,0725496328,0116725452,0116725322
13,11,Wayne,Wiestra,Oracle,Johannesburg,Technical Executive,0856542256,0113589799,0113589798
20,18,Ralph,Blake,Oracle,Johannesburg,Junior Analyst,0725698745,0113589799,0113589798
10,9,Chris,Johnson,Microsoft,Johannesburg,Software Architect,0865496125,0115426589,0115426585
15,1414,Mike,Davidson,Oracle,Johannesburg,Software Developer,0856545236,0113589799,0113589798
33,1,Chris,Thorpe,IBM,Johannesburg,Technical Director,0843546837,0116725321,0116725322
5,4,Peter,South,IBM,Johannesburg,Senior Developer,0835648213,0116725452,0116725322
17,1414,Manoj,Puri,Oracle,Johannesburg,Software Developer,0726594521,0113589799,0113589798
16,1414,Lizl,Steck,Oracle,Johannesburg,Software Developer,0765986321,0113589799,0113589798
11,0,Marco,Gouws,Oracle,Johannesburg,Managing Director,0765983245,0113589741,0113589743
9,7,Vince,Vaughn,Microsoft,Johannesburg,Senior Manager,0852654875,0115425250,0115425290
1414,13,John,Lyons,Oracle,Johannesburg,Project Manager,0868751256,0113589799,0113589798
1,0,Peter,Ndoro,IBM,Johannesburg,Managing Director,0762349827,0116725362,0116725368
12,11,Johan,Philips,Oracle,Johannesburg,Sales Executive,0896542114,0113589743,0113589743
18,1414,Caron,Du Preez,Oracle,Johannesburg,Senior Analyst,0826587441,0113589799,0113589798
2,1,Jackie,Smith,IBM,Johannesburg,Assistant Director,0742546877,0116725351,0116725371
